opta_id,opta_name,tm_id,tm_name,canonical_name,match_type,match_confidence,last_verified,updated_at
23d0t7gqlra3jkskn18bh752i,Álvaro Djaló,420465.0,Tiago Djaló,alvaro djalo,exact_surname,0.9,2026-06-07,
5k1se4e4v90rfvzipbmst1sa2,Álvaro Sanz,71834.0,Aitor Sanz,alvaro sanz,exact_surname,0.9,2026-06-07,
4ix24702sege4lf49wvq9hawa,Ángel Baena,548111.0,Álex Baena,angel baena,exact_surname,0.9,2026-06-07,
3qbl0ps3ms998s0apmpkre3md,É. Balanta,339758.0,K. Balanta,e balanta,exact_surname,0.9,2026-06-07,
68cm9uvlgmi1q5xfki3g31i39,É. Banega,12249.0,Éver Banega,e banega,exact_surname,0.9,2026-06-07,
i26pytzm6fbk0agzasvco7o5,É. Barreto,556047.0,S. Barreto,e barreto,exact_surname,0.9,2026-06-07,
3loyifxyhurubgje1dtfc1wfe,Íñigo Orozco,661140.0,F. Orozco,inigo orozco,exact_surname,0.9,2026-06-07,
c1mlya6vd1pgs0x6fdfbgelm1,Óscar Arribas,537762.0,Sergio Arribas,oscar arribas,exact_surname,0.9,2026-06-07,
dkeuymslnbsdo9xx9e1zx86zu,Ü. Ergün,293998.0,O. Ergün,u ergun,exact_surname,0.9,2026-06-07,
3n9dqmfcqbkarnj5vm9mh5olx,İ. Öztürk,1243013.0,A. Öztürk,i ozturk,exact_surname,0.9,2026-06-07,
6jdphm5rdi6cwv8l4iuh8ao5x,A. Abedzadeh,218431.0,A. Abedzadeh,a abedzadeh,exact_name,1.0,2026-06-07,
br4wylyaeqyxoss5of7r51boq,A. Abqar,559979.0,A. Abqar,a abqar,exact_name,1.0,2026-06-07,
4brxad2pilyhwhjgri3u0rmga,A. Aceves,833268.0,A. Aceves,a aceves,exact_name,1.0,2026-06-07,
163s8vp9sc2hqz8nas3o4dmac,A. Ackra,978027.0,A. Ackra,a ackra,exact_name,1.0,2026-06-07,
6mf11pv0pfvyl9vom1i1pi0yy,A. Adams,607034.0,A. Adams,a adams,exact_name,1.0,2026-06-07,
1rmox6tf7r283dca2vi844kr8,A. Adelgaard,656132.0,A. Adelgaard,a adelgaard,exact_name,1.0,2026-06-07,
8mcf8c8ht32as6xxrf1gb51m2,A. Adli,532776.0,A. Adli,a adli,exact_name,1.0,2026-06-07,
bb4tpva9i4cdir6fiz6tbh8lx,A. Aguerre,269784.0,A. Aguerre,a aguerre,exact_name,1.0,2026-06-07,
bbripu6sojfgwvdahoparudey,A. Ahl-Holmström,498171.0,A. Ahl-Holmström,a ahl-holmstrom,exact_name,1.0,2026-06-07,
447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,377468.0,A. Ahmedhodžić,a ahmedhodzic,exact_name,1.0,2026-06-07,
dvp31n723rn6ipd3xwgxtu1w4,A. Aiki,986261.0,A. Aiki,a aiki,exact_name,1.0,2026-06-07,
1e7snjsrbh93xt5ti1oyuqxka,A. Ait El Hadj,486039.0,A. Ait El Hadj,a ait el hadj,exact_name,1.0,2026-06-07,
46z6ddrhqyy3izfizkz8t3ahh,A. Ajeti,159288.0,A. Ajeti,a ajeti,exact_name,1.0,2026-06-07,
bei486ox42219hyokmlee8kq1,A. Alvarado,570431.0,A. Alvarado,a alvarado,exact_name,1.0,2026-06-07,
2zny241yb0xio4i7k9a5k76s4,A. Amaimouni-Echghouyab,799993.0,A. Amaimouni-Echghouyab,a amaimouni-echghouyab,exact_name,1.0,2026-06-07,
ekl9e2t93vow1buusgdcs3giy,A. Amenda,635645.0,A. Amenda,a amenda,exact_name,1.0,2026-06-07,
ay8tikc1j1r2luqovxrmuf9xw,A. Anselmino,1145504.0,A. Anselmino,a anselmino,exact_name,1.0,2026-06-07,
